team,matches,wins,draws,losses,points_for,points_against,win_pct,margin_total,margin_per_match,points_allowed_per_match,avg_season_margin,world_cup_titles,win_norm,margin_match_norm,season_margin_norm,defense_norm,wc_norm,dominance_score
Argentina,281,74,9,198,5068,7824,26.334519572953734,-2756,-9.807829181494663,27.843416370106763,-9.21912234590806,0.0,0.24546734248845326,0.3388059683976708,0.35767277169683587,0.3329570490095214,0.0,0.26983504975027656
Australia,556,263,19,274,10968,10677,47.302158273381295,291,0.5233812949640287,19.203237410071942,1.0173067498539197,2.0,0.5681570896666899,0.6514417726163195,0.656855013220992,0.7319358305427647,0.5,0.6118451140581811
England,741,391,52,298,11724,9928,52.766531713900136,1796,2.4237516869095814,13.398110661268555,2.4289435432292574,1.0,0.6522532203374525,0.7089494409726087,0.6981132152862862,1.0,0.25,0.6678556306710761
France,686,344,31,311,11849,11327,50.14577259475219,522,0.760932944606414,16.511661807580175,1.8911924001924,0.0,0.6119200140257821,0.6586303930784273,0.6823962508203718,0.8562251027041416,0.0,0.5974075517733897
Ireland,682,295,30,357,9338,9929,43.25513196480939,-591,-0.8665689149560117,14.558651026392962,-1.1338149350649351,0.0,0.5058737818037919,0.6093800797786391,0.5939837324780137,0.9464095613135755,0.0,0.5384330486692361
Italy,260,27,3,230,3653,9114,10.384615384615385,-5461,-21.003846153846155,35.05384615384615,-21.456787082649154,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,552,416,19,117,14498,7851,75.36231884057972,6647,12.041666666666666,14.222826086956522,12.75790775890776,3.0,1.0,1.0,1.0,0.9619169976484689,0.75,0.9711916997648469
Scotland,669,259,32,378,8239,10404,38.714499252615845,-2165,-3.2361733931240657,15.551569506726457,-4.581319143819144,0.0,0.43599392347252997,0.5376727804839181,0.49322281016907366,0.9005594224127834,0.0,0.47285512827663084
South Africa,446,271,18,157,10093,7719,60.76233183856502,2374,5.322869955156951,17.307174887892376,4.713994272922845,4.0,0.7753077405712072,0.7966805130850002,0.7648988680672131,0.8194905812382297,1.0,0.8059771128336378
Wales,693,322,29,342,10426,11083,46.464646464646464,-657,-0.948051948051948,15.992784992784992,-2.563217960200719,0.0,0.555267871301156,0.606914297705941,0.5522062730631297,0.8801853517094467,0.0,0.5446851990773618
